GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
0.647,0.818,0.526,0.615,0.611,0.812,0.5,0.286,0.158
0.353,0.857,0.429,0.286,0.5,0.833,0.211,0.867,0.6
0.5,0.667,0.647,0.273,0.619,0.529,0.048,0.9,0.562
0.353,0.778,0.261,0.154,0.269,0.562,0.348,0.522,0.381
0.565,0.286,0.611,0.333,0.667,0.368,0.25,0.033,0.286
0.6,0.545,0.478,0.171,0.25,0.526,0.429,0.167,0.125
0.571,0.214,0.318,0.357,0.769,0.533,0.316,0.091,0.417
0.429,0.364,0.682,0.091,0.5,0.278,0.409,0.0,1.0
0.429,0.222,0.667,0.111,0.769,0.923,0.316,0.368,0.5
0.125,0.333,0.706,0.0,0.7,0.812,0.467,0.182,0.368
0.545,0.364,0.438,0.727,0.625,0.4,0.542,0.714,0.364
0.412,0.316,0.533,0.647,0.4,0.667,0.273,0.545,0.706
0.143,0.647,0.067,0.273,0.684,0.6,0.316,0.062,0.375
0.375,0.333,0.263,0.353,0.522,1.0,0.364,0.118,0.591
0.765,0.077,0.889,0.321,0.467,0.583,0.417,0.286,0.636
0.5,0.333,0.133,0.316,0.143,0.667,0.154,0.5,0.714
0.462,0.429,0.533,0.143,0.538,0.533,0.182,0.167,0.111
0.667,0.333,0.611,0.174,0.842,0.824,0.077,0.222,0.571
0.583,0.364,0.471,0.062,0.789,0.474,0.45,0.381,0.316
0.286,0.214,0.562,0.353,0.733,0.357,0.227,0.909,0.2
0.619,0.625,0.5,0.32,0.722,0.412,0.5,0.1,0.625
0.364,0.333,0.316,0.8,0.5,0.2,0.75,0.4,0.412
0.143,0.267,0.208,0.278,0.636,0.875,0.333,0.667,0.318
0.375,0.143,0.75,0.053,0.714,0.706,0.5,0.789,0.188
0.238,0.462,0.643,0.615,0.882,0.312,0.538,0.684,0.519
